Apartments in Mumbai,,,,,,
Owner_info,BHK_Info,Price,Locality,Area in Sqft,Construction status,Price per/sqft
OWNER,1, 13.9 L,Neral,450,Under Construction,"3,088 / sq ft"
OWNER,1, 13.9 L,Neral,450,Under Construction,"3,088 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,1, 13.9 L,Neral,450,Under Construction,"3,088 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,1, 1.2 Cr,Santacruz East,450,Ready to move,"26,666 / sq ft"
OWNER,2, 60 L,Khar,1010,Ready to move,"5,940 / sq ft"
OWNER,1, 65 L,Mira Road East,450,Ready to move,"14,444 / sq ft"
OWNER,2, 2.4 Cr,Powai,940,Ready to move,"25,531 / sq ft"
OWNER,2, 84 L,Thakurli,885,Ready to move,"9,491 / sq ft"
OWNER,2, 27 L,Karjat,700,Under Construction,"3,857 / sq ft"
OWNER,3, 2.6 Cr,Andheri West,1350,Ready to move,"19,259 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 98 L,Ghatkopar East,780,Ready to move,"12,564 / sq ft"
OWNER,1, 1.2 Cr,Santacruz East,450,Ready to move,"26,666 / sq ft"
OWNER,2, 23 L,Badlapur West,650,Ready to move,"3,538 / sq ft"
OWNER,1, 30 L,Vasai West,550,Ready to move,"5,454 / sq ft"
AGENT,3, 48.7 L,Naigaon East,800,Under Construction,"6,087 / sq ft"
AGENT,1, 24.75 L,Naigaon East,450,Under Construction,"5,500 / sq ft"
AGENT,1, 25.7 L,Naigaon East,450,Under Construction,"5,711 / sq ft"
OWNER,1, 90 L,Borivali West,447,Ready to move,"20,134 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,4, 3.5 Cr,Powai,1650,Ready to move,"21,212 / sq ft"
OWNER,1, 20 L,Mumbra,650,Ready to move,"3,076 / sq ft"
OWNER,2, 1.35 Cr,Goregaon East,800,Ready to move,"16,875 / sq ft"
OWNER,3, 1.24 Cr,Borivali West,1500,Ready to move,"8,266 / sq ft"
OWNER,2, 47 L,Kalyan West,835,Ready to move,"5,628 / sq ft"
OWNER,1, 80 L,Worli,250,Ready to move,"32,000 / sq ft"
OWNER,3, 2.7 Cr,Mira Road East,3500,Ready to move,"7,714 / sq ft"
OWNER,1, 9 L,Virar East,350,Ready to move,"2,571 / sq ft"
OWNER,1, 92 L,Bhandup West,585,Ready to move,"15,726 / sq ft"
OWNER,1, 30 L,Dombivali East,545,Ready to move,"5,504 / sq ft"
OWNER,1, 1.35 Cr,Chembur,800,Ready to move,"16,875 / sq ft"
OWNER,1, 1.35 Cr,Chembur,800,Ready to move,"16,875 / sq ft"
OWNER,1, 1.35 Cr,Chembur,800,Ready to move,"16,875 / sq ft"
OWNER,1, 1.35 Cr,Chembur,800,Ready to move,"16,875 / sq ft"
OWNER,1, 1.35 Cr,Chembur,800,Ready to move,"16,875 / sq ft"
OWNER,1, 22 L,Powai,320,Ready to move,"6,875 / sq ft"
OWNER,1, 23 L,Badlapur East,596,Ready to move,"3,859 / sq ft"
OWNER,3, 3.1 Cr,Andheri West,1350,Ready to move,"22,962 / sq ft"
OWNER,1, 2.25 Cr,Dadar East,750,Ready to move,"30,000 / sq ft"
OWNER,1, 33 L,Dombivli (West),354,Ready to move,"9,322 / sq ft"
OWNER,1, 49 L,Vikroli East,240,Ready to move,"20,416 / sq ft"
OWNER,1, 21 L,Nala Sopara,350,Ready to move,"6,000 / sq ft"
OWNER,1, 55 L,Kalamboli,700,Ready to move,"7,857 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,1, 60 L,Kalamboli,700,Ready to move,"8,571 / sq ft"
OWNER,2, 1.6 Cr,Vashi,900,Ready to move,"17,777 / sq ft"
